,Anon,kolejności,Data zakupu,bottle_filter_units,next_purchase_date,days_until_next_purchase,filter_retention_days
4592,ANON_1538,174844235,2024-02-04,4,2024-10-19,258.0,64.5
8917,ANON_1538,228781282,2024-10-19,4,2025-05-21,214.0,53.5
12601,ANON_1538,269437331,2025-05-21,4,2025-10-11,143.0,35.75
1646,ANON_1557,121822482,2023-06-30,18,2024-08-19,416.0,23.11111111111111
1648,ANON_1558,121860818,2023-06-30,1,2023-09-27,89.0,89.0
1657,ANON_1567,122208847,2023-07-02,6,2024-04-16,289.0,48.166666666666664
5862,ANON_1567,190866008,2024-04-16,6,2024-04-27,11.0,1.8333333333333333
1662,ANON_1572,122383377,2023-07-03,7,2024-04-23,295.0,42.142857142857146
5976,ANON_1572,192506375,2024-04-23,12,2025-07-11,444.0,37.0
1665,ANON_1575,122475920,2023-07-03,3,2023-10-22,111.0,37.0
1668,ANON_1578,122572614,2023-07-04,6,2025-02-11,588.0,98.0
1976,ANON_1580,130103036,2023-08-06,6,2024-01-02,149.0,24.833333333333332
4081,ANON_1580,167783963,2024-01-02,12,2024-04-28,117.0,9.75
1678,ANON_1587,122803824,2023-07-04,4,2023-07-06,2.0,0.5
1681,ANON_1590,122915766,2023-07-05,3,2024-06-17,348.0,116.0
6781,ANON_1590,204109593,2024-06-17,7,2025-06-04,352.0,50.285714285714285
1683,ANON_1592,122966513,2023-07-05,12,2024-02-05,215.0,17.916666666666668
1687,ANON_1596,123066767,2023-07-05,7,2023-10-06,93.0,13.285714285714286
2862,ANON_1596,144591061,2023-10-06,9,2024-09-24,354.0,39.333333333333336
1695,ANON_1603,123298271,2023-07-06,6,2025-06-19,714.0,119.0
12368,ANON_1611,266940196,2025-05-07,4,2025-09-10,126.0,31.5
1707,ANON_1614,123590906,2023-07-08,6,2024-04-16,283.0,47.166666666666664
1712,ANON_1618,123694912,2023-07-09,2,2023-09-18,71.0,35.5
1716,ANON_1622,123774520,2023-07-09,6,2024-01-07,182.0,30.333333333333332
1987,ANON_1626,130306118,2023-08-06,3,2023-08-29,23.0,7.666666666666667
5585,ANON_1635,187613367,2024-04-02,3,2024-11-11,223.0,74.33333333333333
1767,ANON_1671,125158324,2023-07-14,3,2023-10-16,94.0,31.333333333333332
1770,ANON_1673,125218716,2023-07-14,1,2023-08-21,38.0,38.0
1774,ANON_1676,125293939,2023-07-15,6,2024-03-01,230.0,38.333333333333336
1782,ANON_1684,125463444,2023-07-16,1,2024-05-17,306.0,306.0
6323,ANON_1684,197507728,2024-05-17,3,2024-09-21,127.0,42.333333333333336
1803,ANON_1703,125959549,2023-07-18,6,2025-04-28,650.0,108.33333333333333
1809,ANON_1709,126124370,2023-07-18,12,2023-07-22,4.0,0.3333333333333333
1823,ANON_1723,126548115,2023-07-20,2,2023-11-22,125.0,62.5
1824,ANON_1724,126572832,2023-07-20,12,2023-11-22,125.0,10.416666666666666
3519,ANON_1724,156281308,2023-11-22,12,2024-04-13,143.0,11.916666666666666
5803,ANON_1724,190053463,2024-04-13,12,2025-01-08,270.0,22.5
1828,ANON_1728,126665778,2023-07-21,2,2023-08-09,19.0,9.5
2014,ANON_1728,131064305,2023-08-09,6,2024-05-13,278.0,46.333333333333336
1829,ANON_1729,126694624,2023-07-21,6,2024-01-09,172.0,28.666666666666668
1831,ANON_1731,126749453,2023-07-21,3,2023-12-13,145.0,48.333333333333336
1832,ANON_1732,126771228,2023-07-21,1,2023-12-16,148.0,148.0
3872,ANON_1732,164271166,2023-12-16,6,2024-09-01,260.0,43.333333333333336
1844,ANON_1741,126959023,2023-07-23,6,2025-03-08,594.0,99.0
