,Anon,kolejności,Data zakupu,bottle_filter_units,next_purchase_date,days_until_next_purchase,filter_retention_days
2905,ANON_2669,145157328,2023-10-09,10,2024-04-07,181.0,18.1
2908,ANON_2672,145219093,2023-10-09,2,2023-12-14,66.0,33.0
3844,ANON_2672,163772730,2023-12-14,3,2024-05-21,159.0,53.0
2915,ANON_2679,145323446,2023-10-09,6,2024-01-20,103.0,17.166666666666668
4399,ANON_2679,171908708,2024-01-20,6,2024-07-02,164.0,27.333333333333332
6998,ANON_2679,207367786,2024-07-02,3,2024-11-30,151.0,50.333333333333336
9561,ANON_2679,238152330,2024-11-30,3,2024-12-05,5.0,1.6666666666666667
9674,ANON_2679,239637890,2024-12-05,3,2025-07-20,227.0,75.66666666666667
2937,ANON_2698,145677742,2023-10-10,7,2023-12-04,55.0,7.857142857142857
2947,ANON_2707,145863804,2023-10-11,6,2025-01-09,456.0,76.0
2949,ANON_2709,145894945,2023-10-11,8,2024-04-09,181.0,22.625
2951,ANON_2711,145921918,2023-10-11,7,2024-03-12,153.0,21.857142857142858
3005,ANON_2758,146781340,2023-10-15,6,2024-08-12,302.0,50.333333333333336
7682,ANON_2758,215620281,2024-08-12,3,2025-04-13,244.0,81.33333333333333
3019,ANON_2771,147050399,2023-10-16,6,2024-01-17,93.0,15.5
4359,ANON_2771,171279981,2024-01-17,8,2024-04-01,75.0,9.375
5568,ANON_2771,187380849,2024-04-01,3,2024-07-03,93.0,31.0
7027,ANON_2771,207743824,2024-07-03,6,2024-11-14,134.0,22.333333333333332
9293,ANON_2771,234239162,2024-11-14,6,2025-06-15,213.0,35.5
13042,ANON_2771,273611544,2025-06-15,12,2025-11-02,140.0,11.666666666666666
3027,ANON_2779,147231533,2023-10-17,3,2025-09-22,706.0,235.33333333333334
3029,ANON_2781,147268210,2023-10-17,12,2024-06-24,251.0,20.916666666666668
6881,ANON_2781,205780536,2024-06-24,12,2024-09-13,81.0,6.75
3031,ANON_2783,147302121,2023-10-17,2,2024-09-27,346.0,173.0
3032,ANON_2784,147316899,2023-10-17,9,2025-01-29,470.0,52.22222222222222
3033,ANON_2785,147332385,2023-10-17,3,2024-09-07,326.0,108.66666666666667
3043,ANON_2794,147532772,2023-10-18,3,2025-05-04,564.0,188.0
12304,ANON_2794,266260011,2025-05-04,12,2025-10-13,162.0,13.5
3044,ANON_2795,147549527,2023-10-18,6,2024-03-26,160.0,26.666666666666668
3045,ANON_2796,147562500,2023-10-18,7,2025-11-20,764.0,109.14285714285714
9230,ANON_2823,233250800,2024-11-11,5,2024-11-11,0.0,0.0
3076,ANON_2826,148159676,2023-10-21,6,2024-02-03,105.0,17.5
4580,ANON_2826,174721689,2024-02-03,12,2024-08-17,196.0,16.333333333333332
7763,ANON_2826,216358550,2024-08-17,24,2025-05-26,282.0,11.75
3102,ANON_2849,148621774,2023-10-23,6,2024-08-10,292.0,48.666666666666664
7638,ANON_2849,215102744,2024-08-10,6,2025-09-15,401.0,66.83333333333333
3105,ANON_2852,148682460,2023-10-23,4,2023-10-31,8.0,2.0
3197,ANON_2852,150391027,2023-10-31,1,2024-06-30,243.0,243.0
3108,ANON_2855,148739413,2023-10-23,7,2024-04-02,162.0,23.142857142857142
3109,ANON_2856,148756730,2023-10-24,7,2024-02-01,100.0,14.285714285714286
3116,ANON_2862,148919130,2023-10-24,12,2024-07-11,261.0,21.75
3120,ANON_2865,148982390,2023-10-24,13,2024-11-24,397.0,30.53846153846154
3133,ANON_2877,149248200,2023-10-25,6,2024-11-21,393.0,65.5
3136,ANON_2880,149308890,2023-10-26,6,2024-05-15,202.0,33.666666666666664
3137,ANON_2881,149335397,2023-10-26,6,2025-08-25,669.0,111.5
3155,ANON_2896,149711163,2023-10-27,6,2024-05-28,214.0,35.666666666666664
3165,ANON_2905,149859362,2023-10-28,6,2025-05-12,562.0,93.66666666666667
3174,ANON_2913,150017954,2023-10-29,9,2024-07-30,275.0,30.555555555555557
3179,ANON_2918,150112711,2023-10-30,3,2024-08-03,278.0,92.66666666666667
3181,ANON_2919,150131545,2023-10-30,12,2024-05-05,188.0,15.666666666666666
6103,ANON_2919,194512393,2024-05-05,15,2024-06-02,28.0,1.8666666666666667
3212,ANON_2945,150622979,2023-11-01,4,2024-04-22,173.0,43.25
3220,ANON_2952,150772733,2023-11-02,6,2023-12-11,39.0,6.5
3779,ANON_2952,162391093,2023-12-11,13,2024-04-10,121.0,9.307692307692308
5757,ANON_2952,189444755,2024-04-10,6,2024-06-01,52.0,8.666666666666666
6549,ANON_2952,200647433,2024-06-01,24,2024-09-20,111.0,4.625
8506,ANON_2952,223123030,2024-09-20,12,2025-02-02,135.0,11.25
10694,ANON_2952,250735939,2025-02-02,15,2025-03-23,49.0,3.2666666666666666
3226,ANON_2956,150877590,2023-11-02,13,2024-06-04,215.0,16.53846153846154
3238,ANON_2967,151058690,2023-11-03,6,2024-07-31,271.0,45.166666666666664
7481,ANON_2967,213262812,2024-07-31,6,2025-02-02,186.0,31.0
3239,ANON_2968,151081154,2023-11-03,6,2025-09-24,691.0,115.16666666666667
3257,ANON_2984,151351444,2023-11-04,6,2025-07-26,630.0,105.0
3269,ANON_2993,151513585,2023-11-05,6,2024-11-20,381.0,63.5
3282,ANON_3004,151689308,2023-11-06,12,2024-06-10,217.0,18.083333333333332
3283,ANON_3005,151708144,2023-11-06,4,2024-05-22,198.0,49.5
3318,ANON_3035,152304298,2023-11-08,3,2024-09-30,327.0,109.0
8665,ANON_3035,224990576,2024-09-30,6,2025-10-01,366.0,61.0
5954,ANON_3040,192176642,2024-04-22,3,2024-10-11,172.0,57.333333333333336
8817,ANON_3040,227263591,2024-10-11,3,2025-10-10,364.0,121.33333333333333
3344,ANON_3057,152704202,2023-11-09,6,2024-06-27,231.0,38.5
6923,ANON_3057,206478442,2024-06-27,13,2025-08-11,410.0,31.53846153846154
3351,ANON_3063,152849333,2023-11-10,4,2024-10-16,341.0,85.25
3371,ANON_3082,153218374,2023-11-12,6,2025-01-13,428.0,71.33333333333333
10413,ANON_3082,247499310,2025-01-13,6,2025-11-04,295.0,49.166666666666664
4176,ANON_3086,168774619,2024-01-07,6,2024-08-13,219.0,36.5
3381,ANON_3090,153358905,2023-11-12,6,2024-10-20,343.0,57.166666666666664
5307,ANON_3110,184361433,2024-03-17,6,2025-01-15,304.0,50.666666666666664
3411,ANON_3116,153929546,2023-11-14,10,2023-11-20,6.0,0.6
3413,ANON_3118,153967447,2023-11-14,4,2025-08-13,638.0,159.5
3427,ANON_3130,154236066,2023-11-15,3,2024-03-27,133.0,44.333333333333336
3442,ANON_3144,154560892,2023-11-16,7,2024-06-03,200.0,28.571428571428573
3443,ANON_3145,154587803,2023-11-16,2,2025-02-05,447.0,223.5
3454,ANON_3154,154845268,2023-11-17,3,2024-04-02,137.0,45.666666666666664
5574,ANON_3154,187476866,2024-04-02,3,2025-02-27,331.0,110.33333333333333
3493,ANON_3186,155682058,2023-11-20,9,2024-03-07,108.0,12.0
3499,ANON_3189,155756673,2023-11-21,3,2024-03-08,108.0,36.0
3511,ANON_3199,156056636,2023-11-22,7,2024-12-04,378.0,54.0
3530,ANON_3214,156521678,2023-11-23,4,2024-09-01,283.0,70.75
3540,ANON_3222,156824578,2023-11-24,12,2024-06-04,193.0,16.083333333333332
6604,ANON_3222,201446938,2024-06-04,7,2024-12-02,181.0,25.857142857142858
3544,ANON_3226,156949547,2023-11-24,6,2024-06-01,190.0,31.666666666666668
3549,ANON_3230,157063198,2023-11-25,3,2024-02-09,76.0,25.333333333333332
4671,ANON_3230,176036774,2024-02-09,4,2025-06-05,482.0,120.5
3561,ANON_3241,157407112,2023-11-26,6,2024-06-27,214.0,35.666666666666664
3563,ANON_3243,157469332,2023-11-26,3,2024-05-15,171.0,57.0
6273,ANON_3243,196929398,2024-05-15,1,2024-07-05,51.0,51.0
3569,ANON_3247,157608200,2023-11-27,2,2024-02-05,70.0,35.0
3575,ANON_3252,157790047,2023-11-27,6,2025-10-04,677.0,112.83333333333333
3589,ANON_3264,158127609,2023-11-28,1,2025-09-20,662.0,662.0
3593,ANON_3267,158205847,2023-11-28,12,2023-11-29,1.0,0.08333333333333333
3603,ANON_3275,158467525,2023-11-29,1,2024-05-20,173.0,173.0
3618,ANON_3290,158924285,2023-11-30,4,2024-07-09,222.0,55.5
7123,ANON_3290,208753142,2024-07-09,7,2025-10-07,455.0,65.0
3631,ANON_3302,159296937,2023-12-02,1,2024-03-05,94.0,94.0
5087,ANON_3302,181657173,2024-03-05,1,2024-11-12,252.0,252.0
3640,ANON_3309,159469736,2023-12-03,6,2024-04-08,127.0,21.166666666666668
3647,ANON_3314,159592859,2023-12-03,6,2025-01-31,425.0,70.83333333333333
3650,ANON_3317,159669277,2023-12-03,8,2024-08-02,243.0,30.375
3654,ANON_3321,159766014,2023-12-04,6,2024-05-29,177.0,29.5
3702,ANON_3360,160729266,2023-12-06,6,2024-07-18,225.0,37.5
3713,ANON_3369,160975296,2023-12-07,3,2025-02-08,429.0,143.0
3722,ANON_3377,161177375,2023-12-08,6,2025-04-30,509.0,84.83333333333333
3735,ANON_3389,161456275,2023-12-09,2,2024-03-23,105.0,52.5
3737,ANON_3391,161491520,2023-12-09,7,2025-02-10,429.0,61.285714285714285
10835,ANON_3391,252260106,2025-02-10,6,2025-10-21,253.0,42.166666666666664
3740,ANON_3394,161546770,2023-12-09,6,2025-06-09,548.0,91.33333333333333
3765,ANON_3419,162080985,2023-12-11,3,2024-06-21,193.0,64.33333333333333
3773,ANON_3426,162268826,2023-12-11,6,2024-01-04,24.0,4.0
3775,ANON_3428,162330709,2023-12-11,6,2024-09-01,265.0,44.166666666666664
3838,ANON_3485,163674040,2023-12-14,3,2025-06-29,563.0,187.66666666666666
3848,ANON_3492,163821654,2023-12-15,5,2025-09-02,627.0,125.4
3852,ANON_3495,163910840,2023-12-15,4,2024-03-25,101.0,25.25
5442,ANON_3495,186065044,2024-03-25,4,2024-10-29,218.0,54.5
3870,ANON_3512,164249369,2023-12-16,4,2024-03-26,101.0,25.25
3874,ANON_3515,164294900,2023-12-16,3,2024-05-16,152.0,50.666666666666664
3877,ANON_3518,164357802,2023-12-16,5,2024-03-26,101.0,20.2
3880,ANON_3521,164416240,2023-12-16,4,2025-02-10,422.0,105.5
3883,ANON_3523,164452369,2023-12-17,7,2025-05-17,517.0,73.85714285714286
12528,ANON_3523,268684451,2025-05-17,18,2025-07-23,67.0,3.7222222222222223
4437,ANON_3531,172442265,2024-01-23,6,2024-05-29,127.0,21.166666666666668
3897,ANON_3536,164680605,2023-12-17,6,2025-09-09,632.0,105.33333333333333
3933,ANON_3567,165260131,2023-12-18,6,2025-02-07,417.0,69.5
3936,ANON_3570,165326468,2023-12-19,3,2024-01-03,15.0,5.0
3965,ANON_3597,166003102,2023-12-21,6,2024-03-15,85.0,14.166666666666666
3969,ANON_3600,166126022,2023-12-21,6,2024-07-08,200.0,33.333333333333336
7119,ANON_3600,208702437,2024-07-08,4,2025-11-16,496.0,124.0
3994,ANON_3619,166566445,2023-12-26,6,2025-04-04,465.0,77.5
4000,ANON_3623,166682350,2023-12-27,6,2025-11-16,690.0,115.0
16338,ANON_3623,298414894,2025-11-16,4,2025-11-24,8.0,2.0
4354,ANON_3625,171207321,2024-01-17,2,2024-11-10,298.0,149.0
4010,ANON_3631,166850451,2023-12-27,3,2025-07-22,573.0,191.0
5008,ANON_3636,180780278,2024-03-01,6,2025-03-02,366.0,61.0
4025,ANON_3644,167104046,2023-12-28,6,2025-09-17,629.0,104.83333333333333
4026,ANON_3645,167120863,2023-12-28,7,2025-05-28,517.0,73.85714285714286
4043,ANON_3661,167403937,2023-12-30,6,2024-11-03,309.0,51.5
4055,ANON_3670,167534617,2024-01-01,9,2024-06-18,169.0,18.77777777777778
4070,ANON_3682,167665663,2024-01-02,3,2024-03-28,86.0,28.666666666666668
4071,ANON_3683,167675784,2024-01-02,3,2024-10-30,302.0,100.66666666666667
4077,ANON_3688,167744088,2024-01-02,6,2025-10-12,649.0,108.16666666666667
4082,ANON_3692,167785854,2024-01-02,6,2024-04-21,110.0,18.333333333333332
4102,ANON_3711,167959694,2024-01-03,6,2024-08-31,241.0,40.166666666666664
4127,ANON_3732,168224886,2024-01-04,5,2024-06-05,153.0,30.6
6609,ANON_3732,201532227,2024-06-05,3,2024-09-30,117.0,39.0
4129,ANON_3734,168261217,2024-01-04,6,2024-03-03,59.0,9.833333333333334
4142,ANON_3743,168389997,2024-01-04,18,2025-03-09,430.0,23.88888888888889
4156,ANON_3756,168575804,2024-01-05,18,2024-04-16,102.0,5.666666666666667
4162,ANON_3760,168629365,2024-01-06,6,2025-11-16,680.0,113.33333333333333
4230,ANON_3811,169432091,2024-01-09,2,2025-09-05,605.0,302.5
4245,ANON_3823,169636582,2024-01-10,6,2024-09-01,235.0,39.166666666666664
4252,ANON_3829,169732309,2024-01-10,3,2024-05-23,134.0,44.666666666666664
6436,ANON_3829,198886057,2024-05-23,4,2025-04-22,334.0,83.5
4264,ANON_3839,169894397,2024-01-11,12,2024-09-26,259.0,21.583333333333332
4270,ANON_3845,169987421,2024-01-11,6,2025-09-12,610.0,101.66666666666667
4288,ANON_3861,170258281,2024-01-13,6,2025-10-15,641.0,106.83333333333333
4301,ANON_3873,170387806,2024-01-13,10,2025-07-10,544.0,54.4
4306,ANON_3878,170445018,2024-01-14,6,2024-02-28,45.0,7.5
4965,ANON_3878,180130542,2024-02-28,4,2024-09-24,209.0,52.25
8567,ANON_3878,223806437,2024-09-24,9,2025-11-25,427.0,47.44444444444444
16533,ANON_3878,300151812,2025-11-25,6,2025-11-25,0.0,0.0
4317,ANON_3889,170587881,2024-01-14,3,2024-02-11,28.0,9.333333333333334
4332,ANON_3902,170813255,2024-01-15,2,2024-01-31,16.0,8.0
4347,ANON_3917,171078086,2024-01-16,2,2024-03-06,50.0,25.0
9124,ANON_3931,231918797,2024-11-05,15,2025-02-27,114.0,7.6
11127,ANON_3931,255172878,2025-02-27,3,2025-08-06,160.0,53.333333333333336
4367,ANON_3935,171405206,2024-01-17,6,2024-07-04,169.0,28.166666666666668
4373,ANON_3941,171541376,2024-01-18,3,2024-05-09,112.0,37.333333333333336
4385,ANON_3952,171752028,2024-01-19,10,2024-07-31,194.0,19.4
5564,ANON_3959,187335546,2024-04-01,3,2024-05-01,30.0,10.0
6063,ANON_3959,193923615,2024-05-01,2,2025-02-16,291.0,145.5
4410,ANON_3971,172059111,2024-01-21,7,2024-08-27,219.0,31.285714285714285
4425,ANON_3984,172286868,2024-01-22,6,2025-03-17,420.0,70.0
4431,ANON_3989,172355217,2024-01-22,7,2024-07-14,174.0,24.857142857142858
4480,ANON_4029,173154408,2024-01-26,6,2024-11-07,286.0,47.666666666666664
4481,ANON_4030,173173747,2024-01-26,3,2025-01-28,368.0,122.66666666666667
4500,ANON_4047,173410756,2024-01-28,6,2024-09-30,246.0,41.0
4514,ANON_4059,173638764,2024-01-29,4,2025-02-05,373.0,93.25
4522,ANON_4067,173795486,2024-01-30,5,2025-01-25,361.0,72.2
4523,ANON_4068,173813055,2024-01-30,6,2024-09-11,225.0,37.5
4528,ANON_4073,173909739,2024-01-30,2,2024-11-07,282.0,141.0
4568,ANON_4106,174556741,2024-02-02,4,2025-03-31,423.0,105.75
4589,ANON_4121,174798043,2024-02-04,6,2024-08-21,199.0,33.166666666666664
4611,ANON_4137,175092611,2024-02-05,3,2024-06-06,122.0,40.666666666666664
4627,ANON_4148,175276648,2024-02-05,4,2024-08-25,202.0,50.5
4630,ANON_4151,175343362,2024-02-06,7,2025-05-14,463.0,66.14285714285714
4644,ANON_4163,175584784,2024-02-07,6,2024-11-18,285.0,47.5
4662,ANON_4179,175918161,2024-02-08,6,2024-07-04,147.0,24.5
4683,ANON_4194,176191473,2024-02-09,8,2024-04-05,56.0,7.0
4690,ANON_4200,176280029,2024-02-10,6,2025-05-17,462.0,77.0
4725,ANON_4229,176691024,2024-02-12,6,2024-05-07,85.0,14.166666666666666
6131,ANON_4229,194962381,2024-05-07,6,2024-09-04,120.0,20.0
4735,ANON_4237,176815891,2024-02-12,2,2025-07-17,521.0,260.5
4770,ANON_4269,177360683,2024-02-14,6,2025-01-08,329.0,54.833333333333336
4780,ANON_4278,177521009,2024-02-15,6,2024-11-12,271.0,45.166666666666664
4783,ANON_4281,177576091,2024-02-15,3,2024-05-22,97.0,32.333333333333336
13431,ANON_4284,277313940,2025-07-08,6,2025-07-27,19.0,3.1666666666666665
4802,ANON_4300,177879136,2024-02-17,6,2025-04-25,433.0,72.16666666666667
4821,ANON_4313,178072678,2024-02-18,2,2024-04-07,49.0,24.5
5678,ANON_4313,188613351,2024-04-07,4,2024-07-09,93.0,23.25
7139,ANON_4313,208937996,2024-07-09,5,2024-10-27,110.0,22.0
9012,ANON_4313,230346384,2024-10-27,4,2025-05-26,211.0,52.75
12670,ANON_4313,270117343,2025-05-26,4,2025-10-26,153.0,38.25
4826,ANON_4318,178138777,2024-02-18,8,2024-10-03,228.0,28.5
4833,ANON_4324,178239217,2024-02-19,6,2025-11-28,648.0,108.0
4861,ANON_4345,178593349,2024-02-20,3,2024-05-01,71.0,23.666666666666668
6062,ANON_4345,193919189,2024-05-01,6,2025-04-17,351.0,58.5
5621,ANON_4361,187838977,2024-04-03,12,2025-07-21,474.0,39.5
4886,ANON_4365,178972966,2024-02-22,12,2024-11-14,266.0,22.166666666666668
4895,ANON_4372,179110592,2024-02-22,6,2025-01-06,319.0,53.166666666666664
4914,ANON_4387,179391572,2024-02-24,6,2024-07-08,135.0,22.5
4922,ANON_4393,179484427,2024-02-25,6,2024-09-05,193.0,32.166666666666664
8219,ANON_4393,220160459,2024-09-05,18,2025-03-22,198.0,11.0
4936,ANON_4403,179644731,2024-02-26,6,2025-11-29,642.0,107.0
4955,ANON_4421,179964391,2024-02-27,6,2024-09-28,214.0,35.666666666666664
4977,ANON_4438,180303004,2024-02-28,3,2024-12-09,285.0,95.0
6783,ANON_4485,204127380,2024-06-17,3,2024-06-21,4.0,1.3333333333333333
5045,ANON_4494,181205063,2024-03-04,6,2025-11-27,633.0,105.5
5084,ANON_4524,181616217,2024-03-05,3,2024-03-11,6.0,2.0
5145,ANON_4576,182236038,2024-03-07,4,2025-05-17,436.0,109.0
5168,ANON_4597,182599386,2024-03-10,10,2024-08-13,156.0,15.6
7686,ANON_4597,215650546,2024-08-13,6,2024-08-27,14.0,2.3333333333333335
7974,ANON_4597,218298625,2024-08-27,2,2025-02-13,170.0,85.0
10904,ANON_4597,252998793,2025-02-13,7,2025-06-01,108.0,15.428571428571429
5201,ANON_4624,183014758,2024-03-11,9,2024-11-29,263.0,29.22222222222222
9540,ANON_4624,237853844,2024-11-29,7,2025-09-02,277.0,39.57142857142857
5212,ANON_4634,183144591,2024-03-12,6,2024-07-18,128.0,21.333333333333332
5224,ANON_4644,183294306,2024-03-12,4,2025-01-09,303.0,75.75
5286,ANON_4696,184154295,2024-03-16,6,2025-10-12,575.0,95.83333333333333
5334,ANON_4731,184725487,2024-03-19,3,2025-02-07,325.0,108.33333333333333
5339,ANON_4736,184825301,2024-03-19,4,2024-03-31,12.0,3.0
5365,ANON_4753,185136821,2024-03-20,3,2024-04-02,13.0,4.333333333333333
5370,ANON_4757,185224115,2024-03-21,3,2025-10-05,563.0,187.66666666666666
5378,ANON_4765,185389589,2024-03-21,6,2025-09-24,552.0,92.0
5380,ANON_4767,185423683,2024-03-21,14,2024-07-07,108.0,7.714285714285714
5399,ANON_4784,185578360,2024-03-22,13,2025-10-07,564.0,43.38461538461539
5406,ANON_4789,185624178,2024-03-23,4,2024-04-09,17.0,4.25
5422,ANON_4803,185808689,2024-03-24,8,2025-09-28,553.0,69.125
6976,ANON_4810,207145161,2024-07-01,3,2024-07-15,14.0,4.666666666666667
5438,ANON_4817,186005691,2024-03-25,6,2024-08-20,148.0,24.666666666666668
5453,ANON_4829,186220512,2024-03-25,6,2025-11-24,609.0,101.5
5461,ANON_4836,186327355,2024-03-26,6,2024-10-16,204.0,34.0
8883,ANON_4836,228232581,2024-10-16,6,2024-10-23,7.0,1.1666666666666667
5490,ANON_4859,186537633,2024-03-27,6,2024-10-30,217.0,36.166666666666664
9051,ANON_4859,230931568,2024-10-30,12,2025-09-28,333.0,27.75
5521,ANON_4881,186841442,2024-03-28,2,2024-05-09,42.0,21.0
6168,ANON_4881,195498391,2024-05-09,2,2025-07-26,443.0,221.5
11552,ANON_4884,258801132,2025-03-19,1,2025-06-09,82.0,82.0
12940,ANON_4884,272629735,2025-06-09,3,2025-08-15,67.0,22.333333333333332
5532,ANON_4891,186979068,2024-03-29,6,2025-02-03,311.0,51.833333333333336
5549,ANON_4904,187173169,2024-03-31,4,2025-04-03,368.0,92.0
5581,ANON_4927,187570590,2024-04-02,8,2024-09-29,180.0,22.5
5591,ANON_4935,187689165,2024-04-03,7,2025-02-23,326.0,46.57142857142857
11042,ANON_4935,254419486,2025-02-23,4,2025-06-18,115.0,28.75
5654,ANON_4988,188295900,2024-04-05,13,2024-05-09,34.0,2.6153846153846154
5656,ANON_4990,188331400,2024-04-05,3,2024-05-13,38.0,12.666666666666666
5670,ANON_5004,188514781,2024-04-07,7,2025-11-24,596.0,85.14285714285714
5694,ANON_5022,188781167,2024-04-08,6,2024-04-10,2.0,0.3333333333333333
5726,ANON_5047,189126367,2024-04-09,6,2024-06-20,72.0,12.0
5727,ANON_5048,189135043,2024-04-09,12,2024-04-20,11.0,0.9166666666666666
5743,ANON_5060,189281356,2024-04-09,7,2024-05-13,34.0,4.857142857142857
6236,ANON_5060,196368421,2024-05-13,13,2024-10-22,162.0,12.461538461538462
5783,ANON_5094,189817340,2024-04-11,3,2024-12-12,245.0,81.66666666666667
9858,ANON_5094,241621606,2024-12-12,6,2025-01-12,31.0,5.166666666666667
5793,ANON_5101,189948085,2024-04-12,7,2024-07-30,109.0,15.571428571428571
7461,ANON_5101,213007454,2024-07-30,6,2025-11-16,474.0,79.0
5841,ANON_5139,190514309,2024-04-15,6,2024-08-18,125.0,20.833333333333332
5845,ANON_5142,190561014,2024-04-15,2,2024-10-18,186.0,93.0
8905,ANON_5142,228575565,2024-10-18,7,2025-04-21,185.0,26.428571428571427
12105,ANON_5142,264208264,2025-04-21,11,2025-07-25,95.0,8.636363636363637
5857,ANON_5154,190805639,2024-04-16,18,2025-04-15,364.0,20.22222222222222
5880,ANON_5171,191116516,2024-04-17,4,2025-06-23,432.0,108.0
5926,ANON_5207,191759278,2024-04-21,3,2024-08-25,126.0,42.0
5942,ANON_5220,192008608,2024-04-22,3,2025-09-02,498.0,166.0
5975,ANON_5245,192482004,2024-04-23,3,2025-01-20,272.0,90.66666666666667
5987,ANON_5251,192625810,2024-04-24,3,2024-05-06,12.0,4.0
5989,ANON_5253,192679870,2024-04-24,3,2024-10-29,188.0,62.666666666666664
5993,ANON_5257,192754146,2024-04-24,1,2024-07-06,73.0,73.0
6008,ANON_5270,193061839,2024-04-26,6,2025-04-05,344.0,57.333333333333336
11833,ANON_5270,261496751,2025-04-05,3,2025-06-03,59.0,19.666666666666668
6015,ANON_5277,193211720,2024-04-27,7,2024-09-30,156.0,22.285714285714285
6016,ANON_5278,193225347,2024-04-27,4,2024-08-18,113.0,28.25
6029,ANON_5288,193365660,2024-04-28,11,2024-09-16,141.0,12.818181818181818
8444,ANON_5288,222344697,2024-09-16,19,2025-01-27,133.0,7.0
10622,ANON_5288,249844655,2025-01-27,12,2025-10-16,262.0,21.833333333333332
6031,ANON_5290,193401231,2024-04-28,10,2025-05-02,369.0,36.9
6035,ANON_5294,193464403,2024-04-28,9,2025-11-26,577.0,64.11111111111111
6088,ANON_5334,194308290,2024-05-03,4,2024-05-16,13.0,3.25
6308,ANON_5334,197333197,2024-05-16,1,2025-01-20,249.0,249.0
6109,ANON_5351,194598767,2024-05-05,4,2024-06-25,51.0,12.75
6116,ANON_5357,194738440,2024-05-06,5,2025-07-18,438.0,87.6
7029,ANON_5385,207771874,2024-07-04,3,2024-12-12,161.0,53.666666666666664
9849,ANON_5385,241531868,2024-12-12,6,2025-07-21,221.0,36.833333333333336
6597,ANON_5399,201378798,2024-06-04,3,2025-03-23,292.0,97.33333333333333
6179,ANON_5407,195643601,2024-05-09,3,2024-06-08,30.0,10.0
6186,ANON_5413,195753942,2024-05-10,7,2024-12-03,207.0,29.571428571428573
6197,ANON_5423,195926921,2024-05-11,3,2024-08-07,88.0,29.333333333333332
6265,ANON_5473,196814579,2024-05-14,6,2024-12-07,207.0,34.5
6266,ANON_5474,196830000,2024-05-14,6,2025-11-01,536.0,89.33333333333333
6302,ANON_5501,197274916,2024-05-16,1,2025-03-20,308.0,308.0
11558,ANON_5501,258858874,2025-03-20,6,2025-07-16,118.0,19.666666666666668
13605,ANON_5501,278584752,2025-07-16,6,2025-10-15,91.0,15.166666666666666
6310,ANON_5506,197361166,2024-05-16,8,2024-08-15,91.0,11.375
6314,ANON_5509,197406708,2024-05-16,6,2025-02-11,271.0,45.166666666666664
6331,ANON_5521,197602342,2024-05-17,6,2024-11-02,169.0,28.166666666666668
6352,ANON_5537,197796513,2024-05-19,4,2025-11-13,543.0,135.75
6354,ANON_5539,197818095,2024-05-19,6,2025-04-08,324.0,54.0
6358,ANON_5543,197871395,2024-05-19,3,2024-10-29,163.0,54.333333333333336
6366,ANON_5550,197952794,2024-05-19,6,2025-07-14,421.0,70.16666666666667
6367,ANON_5551,197974306,2024-05-19,3,2024-05-26,7.0,2.3333333333333335
6473,ANON_5551,199558101,2024-05-26,5,2024-08-04,70.0,14.0
7537,ANON_5551,213883118,2024-08-04,2,2024-11-28,116.0,58.0
9528,ANON_5551,237673540,2024-11-28,3,2025-11-25,362.0,120.66666666666667
6369,ANON_5553,198006720,2024-05-20,6,2025-03-01,285.0,47.5
6411,ANON_5588,198528373,2024-05-21,3,2025-03-09,292.0,97.33333333333333
6441,ANON_5614,199001267,2024-05-23,6,2025-03-04,285.0,47.5
6469,ANON_5641,199494522,2024-05-26,3,2025-01-15,234.0,78.0
6471,ANON_5642,199513003,2024-05-26,12,2024-05-28,2.0,0.16666666666666666
6474,ANON_5644,199560545,2024-05-26,4,2025-07-27,427.0,106.75
6484,ANON_5651,199710039,2024-05-27,3,2024-05-27,0.0,0.0
6488,ANON_5654,199765700,2024-05-27,3,2025-02-03,252.0,84.0
6575,ANON_5723,200987416,2024-06-03,3,2025-05-04,335.0,111.66666666666667
6577,ANON_5725,201032902,2024-06-03,6,2025-11-14,529.0,88.16666666666667
10678,ANON_5734,250573501,2025-01-31,6,2025-10-11,253.0,42.166666666666664
6599,ANON_5744,201395490,2024-06-04,4,2025-02-12,253.0,63.25
6694,ANON_5818,202713980,2024-06-10,1,2024-06-26,16.0,16.0
6712,ANON_5832,202985369,2024-06-11,6,2025-07-06,390.0,65.0
6718,ANON_5837,203072112,2024-06-12,4,2025-01-13,215.0,53.75
6742,ANON_5857,203462764,2024-06-13,3,2025-02-20,252.0,84.0
6753,ANON_5867,203675498,2024-06-14,31,2024-06-17,3.0,0.0967741935483871
6784,ANON_5867,204127583,2024-06-17,38,2025-10-07,477.0,12.552631578947368
10428,ANON_5869,247649456,2025-01-14,6,2025-09-05,234.0,39.0
6785,ANON_5893,204134147,2024-06-17,3,2024-10-10,115.0,38.333333333333336
8798,ANON_5893,226916317,2024-10-10,6,2025-04-02,174.0,29.0
12991,ANON_5898,273136357,2025-06-12,6,2025-09-13,93.0,15.5
6811,ANON_5915,204569659,2024-06-18,6,2025-04-11,297.0,49.5
6828,ANON_5928,204827148,2024-06-19,7,2025-05-13,328.0,46.857142857142854
12469,ANON_5928,268056687,2025-05-13,6,2025-11-13,184.0,30.666666666666668
6835,ANON_5933,204958896,2024-06-20,12,2025-02-26,251.0,20.916666666666668
